Purchase Date,Store #,Order #,Receipt #,PO / Job Name,Item Purchased,Order Total,Payment Method,Data Extraction Date,File Path
"1/31/2024, 1:28 PM",0563,H0563-451934,0563 00097 43691,3701,"01 ClarkDietrich 1-1/4 in. x 8 ft. Quicksilver Metal Corner  BeadN/A 423629 $4.35 / each 7$29.54
02 USG 18 lb. Easy Sand 20 Setting-Type Joint Compound N/A 462910 $10.88 / each 1$10.66
03 GE Advanced Silicone 2 10.1 oz. Clear Exterior/Interior  Window and Door SealantN/A 362646 $10.98 / each 3$31.95
04 Handprint 3/16 in. x 2 ft. x 4 ft. Underlayment Project  PanelN/A 445789 $12.99 / each 1$12.99",$92.16,Master Card 0305 Charged $92.16,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-451934 Receipt.txt
"2/05/2024, 1:33 PM",0563,H0563-452792,0563 00097 52809,3701,"01 BEHR 1 qt. #TIS-358 Mission Oak Satin Semi- Transparent Water-Based Interior Stain and Poly in OneN/A 1004823593 $19.98 / each 1$19.38
02 Varathane 1 qt. Clear Satin Water-Based Interior  PolyurethaneN/A 420301 $24.48 / each 1$23.75
03 Leviton 1-Gang Blank Wall Plate, White N/A 224175 $0.67 / each 1$0.67",$47.41,Master Card 0305 Charged $47.41,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-452792 Receipt.txt
"2/06/2024, 8:40 AM",0563,H0563-452892,0563 00097 53757,3701,"01 SharkBite 1/2 in. PEX Barb Brass Tee Fitting (10-Pack) N/A 1001405300 $31.24 / each 1$31.24
02 SharkBite 1/2 in. PEX Barb Brass 90-Degree Elbow  Fitting (10-Pack)N/A 1001404806 $20.62 / each 1$20.62
03 BrassCraft 1/2 in. Compression Inlet x 3/8 in.  Compression Outlet 1/4-Turn Angle ValveN/A 235839 $9.73 / each 2$19.06
04 SharkBite 1/2 in. PEX Barb x 6 in. Copper Stub-Out 90- Degree Elbow FittingN/A 840901 $6.54 / each 2$12.82
05 SharkBite 1/2 in. x 10 ft. Blue PEX Pipe N/A 471600 $4.26 / each 1$4.05
06 SharkBite 1/2 in. x 10 ft. White PEX Pipe N/A 556900 $4.26 / each 2$8.08",$103.78,Master Card 0305 Charged $103.78,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-452892 Receipt.txt
"2/09/2024, 9:02 AM",0563,H0563-453627,0563 00097 61123,3701,"01 Charlotte Pipe 2 in. DWV PVC Double Sanitary Tee  FittingN/A 189782 $12.64 / each 1$12.39
02 Charlotte Pipe 1-1/2 in. PVC DWV Female Adapter N/A 189162 $2.32 / each 1$2.27
03 Mueller Streamline 1-1/2 in. PVC DWV 90-Degree Hub x  Hub ElbowN/A 189502 $4.86 / each 2$9.52
04 Charlotte Pipe 2 in. PVC Socket Schedule 40 Pressure  CapN/A 232777 $2.61 / each 2$5.06",$31.65,Master Card 0305 Charged $31.65,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-453627 Receipt.txt
"2/12/2024, 11:12 AM",0563,H0563-454069,0563 00097 65470,3701,"01 Charlotte Pipe 1-1/2 in. PVC Schedule 40 Female S x  FPT AdapterN/A 294012 $2.26 / each 1$2.19
02 Mueller Streamline 1-1/2 in. PVC DWV 22-1/2-Degree  Hub x Hub ElbowN/A 641344 $3.59 / each 1$3.52
03 MSI Sierra Blue Ledger Panel 6 in. x 24 in. Natural  Quartzite Wall Tile (4 sq. ft./case)N/A 1000027359 $29.16 / case 2$55.40
04 Everbilt 3/8 in. Compression x 3/8 in. Compression x 3/8  in. Brass T-FittingN/A 367960 $7.47 / each 2$14.64
05 Oatey 8 oz. Purple CPVC and PVC Primer and Medium  Milky All-Purpose ABS, CPVC, PVC Cement Combo  PackN/A 1004662741 $13.26 / each 1$12.86
06 Custom Building Products VersaBond 50 lb. White Fast- Setting Professional Thinset MortarN/A 399775 $12.98 / each 1$12.72",$109.69,Master Card 0305 Charged $109.69,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-454069 Receipt.txt
"2/17/2024, 8:11 AM",0563,H0563-455030,,3701,"01 GRK Fasteners 8 x 2-3/4 in. Star Drive Low Profile  Washer Head Cabinet Screw (100-Piece per Pack)    PREFERRED PRICING $1.05 OFF EACHN/A 225878 $14.98 / each $13.93 / each1$13.93
02 Unbranded 2 in. x 6 in. x 8 ft. #2 and Better PRIME Kiln- Dried Heat Treated Spruce-Pine-Fir LumberN/A 161713 $6.42 / each 1$6.42",$22.03,"02/17/2024
9:13 AM EST Master Card 0305 Charged $22.03",2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-455030 Receipt.txt
"2/19/2024, 10:30 AM",0563,H0563-455252,0563 00097 76584,3701,"01 Charlotte Pipe 1-1/2 in. PVC DWV 90 Hub x Hub Vent  ElbowN/A 905492 $3.84 / each 2$7.52
02 SharkBite Max 1/2 in. Push to Connect x 3/8 in. O.D.  Compression Brushed Nickel Angle Stop ValveN/A 1005880430 $16.25 / each 1$15.93
03 Titebond 1 gal. Green Choice Fast Grab FRP Adhesive N/A 1000018579 $25.82 / each 1$25.82
04 SharkBite Max 1/2 in. Push-to-Connect x 3/8 in. O.D.  Compression Chrome-Plated Brass Quarter-Turn Angle  Stop ValveN/A 745645 $12.45 / each 1$12.20
05 Mueller Streamline 1-1/2 in. PVC DWV 45-Degree Hub x  Hub x Hub WyeN/A 189545 $6.39 / each 1$6.26
06 Mueller Streamline 1-1/2 in. PVC DWV 45-Degree Hub x  Hub ElbowN/A 189456 $0.96 / each 2$1.88
07 Mueller Streamline 1-1/2 in. PVC DWV 22-1/2-Degree  Hub x Hub ElbowN/A 641344 $3.59 / each 1$3.52
08 Everbilt 1/4 in. x 3 in. Zinc-Plated Toggle Bolt with Round- Head Phillips Drive Screw (10-Piece)N/A 261289 $6.38 / each 1$6.06
09 Charlotte Pipe 1-1/2 in. x 2 ft. PVC DWV Schedule 40  PipeN/A 221646 $5.76 / each 2$11.16Customer Receipt 2/19/2024, 10:30 AM CST   Sales Person TAS5247 Store Phone # (972) 513-2400    Store #0563 Location 3200 W IRVING BLVD, IRVING, TX 75061     | We reserve the right to limit the quantities of merchandise sold to customers. Page2of2",$97.80,Master Card 0305 Charged $97.80,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-455252 Receipt.txt
"2/19/2024, 12:59 PM",0563,H0563-455305,0563 00097 77038,3701-108,"01 Unbranded 2 in. x 4 in. x 96 in. Prime Kiln-Dried  Whitewood StudN/A 161640 $2.68 / each 1$2.68
02 Mold Armor 32 oz. Mold Blocker N/A 527234 $10.97 / each 1$10.97",$14.78,Master Card 0305 Charged $14.78,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-455305 Receipt.txt
"2/19/2024, 2:13 PM",0563,H0563-455342,0563 00097 77483,3701-108,"01 Oatey 1-1/2 in. x 12 in. White Plastic Slip-Joint Sink Drain  Extension TubeN/A 1000050270 $4.97 / each 2$9.44
02 Oatey 1-1/2 in. 90 Degree Plastic Double Slip-Joint Sink  Drain Elbow Pipe, WhiteN/A 1000050258 $4.77 / each 4$18.12
03 Oatey 1-1/2 in. Sink Drain Pipe Plastic Slip-Joint Nut with  Rubber Reducing WashersN/A 1000049738 $3.27 / each 1$3.11
04 Oatey 1-1/2 in. x 12 in. White Plastic Flanged Strainer  Sink Drain TailpieceN/A 1000050279 $3.54 / each 2$6.72
05 Oatey 1-1/2 in. White Plastic Sink Drain Wall Tube N/A 1000050249 $3.84 / each 2$7.40
06 DAP Plastic Wood-X with DryDex 5.5 oz. All-Purpose  Wood FillerN/A 1001650864 $7.98 / each 1$7.74",$56.76,Master Card 0305 Charged $56.76,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-455342 Receipt.txt
"2/29/2024, 10:09 AM",0563,H0563-457154,0563 00097 94470,3701,"01 DAP DYNAFLEX Ultra 10.1 oz. Gray Advanced Exterior  Window, Door, and Siding SealantN/A 1003545327 $8.78 / each 3$26.34
02 Unbranded 4 in.x 1/4 in.Shed Resistant White Woven  Mini Paint Roller (6-Pack)N/A 1001287497 $11.34 / each 1$11.00
03 BEHR Premium Plus 1 gal. Medium Base Eggshell  Enamel Low Odor Interior Paint and Primer in OneN/A 925081 $31.98 / each 1$25.58
04 BEHR PREMIUM PLUS 1 gal. Medium Base Semi-Gloss  Enamel Low Odor Interior Paint and Primer in OneN/A 928480 $37.98 / gallon 1$30.39
05 Schlage Elan Satin Chrome Privacy Light Commercial Bed /Bath Door HandleN/A 665585 $38.47 / each 2$73.08
06 Schlage Elan Satin Chrome Passage Light Commercial  Hall/Closet Door HandleN/A 665666 $38.47 / each 1$36.55",$219.68,Master Card 0305 Charged $219.68,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-457154 Receipt.txt
"2/29/2024, 1:15 PM",0563,H0563-457214,0563 00097 95014,3701,"01 Unbranded 2 in. x 4 in. x 96 in. Prime Kiln-Dried  Whitewood StudN/A 161640 $2.68 / each 4$10.72
02 BEHR Premium Plus 1 gal. Deep Base Eggshell Enamel  Low Odor Interior Paint and Primer in OneN/A 924322 $31.98 / gallon 1$25.58
03 Custom Building Products Polyblend #09 Natural Gray  10.5 oz. Sanded Ceramic Tile CaulkN/A 784042 $7.97 / each 1$7.73
04 3M 2 5/8 in. x 3 3/4 in x 1 in. Dual Grit Fine/Medium  Drywall Sanding Sponge (2-Pack)N/A 748988 $5.98 / each 1$5.80
05 USG USG Sheetrock Easy Sand Patching Compound -  18 LB Bag (Set Time: 5 min) 384150N/A 506080 $10.88 / bag 1$10.66
06 GREAT STUFF 12 oz. Gaps and Cracks Insulating Spray  Foam SealantN/A 138142 $4.38 / each 2$8.76",$74.96,Master Card 0305 Charged $74.96,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-457214 Receipt.txt
"3/02/2024, 9:53 AM",0563,H0563-457521,0563 00097 98034,3701,"01 Klean-Strip 1 Gal. Lacquer Thinner N/A 285901 $20.98 / each 1$20.98
02 HDX 1 lbs. Roll-O-Rags N/A 397851 $6.98 / each 1$6.77
03 BrassCraft 3/8 in. Compression x 3/8 in. Compression x  20 in. Braided Polymer Dishwasher Supply LineN/A 470078 $5.75 / each 2$11.26
04 Everbilt 3/8 in. Compression x 3/8 in. Compression x 3/8  in. Brass T-FittingN/A 367960 $7.47 / each 1$7.32",$50.15,Master Card 0305 Charged $50.15,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-457521 Receipt.txt
"3/04/2024, 11:50 AM",0563,H0563-457777,0563 00097 00089,robin,01 BEHR Premium Plus 1 qt. Medium Base Eggshell Enamel  Low Odor Interior PaintN/A 925147 $14.98 / quart 1$14.98,$16.22,Master Card 0305 Charged $16.22,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-457777 Receipt.txt
"3/06/2024, 11:14 AM",0563,H0563-458203,0563 00097 04214,3701,"01 DAP Alex Plus 10.1 oz. White Acrylic Latex Caulk Plus  SiliconeN/A 984590 $4.28 / each 4$17.12
02 Custom Building Products Polyblend #09 Natural Gray  10.5 oz. Sanded Ceramic Tile CaulkN/A 784042 $7.97 / each 1$7.73
03 M-D Building Products Platinum Series 1 in. x 1 in. x 156  in. Black Expandable Foam Tape Weatherseal for  Uneven GapsN/A 1004862371 $18.93 / each 2$35.96
04 Charlotte Pipe 2 in. PVC DWV Cleanout Plug N/A 189278 $2.17 / each 2$4.24
05 Mueller Streamline 2 in. PVC DWV Hub x FIPT Female  AdapterN/A 189170 $3.97 / each 2$7.78
06 HDX 1 lbs. Roll-O-Rags N/A 397851 $6.98 / each 1$6.77",$86.17,Master Card 0305 Charged $86.17,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-458203 Receipt.txt
"3/21/2024, 11:21 AM",0563,H0563-460934,0563 00097 30011,3701,"01 Klean-Strip 1 qt. Lacquer Thinner Cleans Sprayers and  ToolsN/A 285896 $9.98 / each 1$9.98
02 DIABLO 4 in. x 10 TPI Fine Finish Bi-Metal Jigsaw Blade  (5-Pack)N/A 1005342051 $11.97 / each 1$11.13
03 BEHR PREMIUM 1 gal. Deep Base Eggshell Direct to  Metal Interior/Exterior PaintN/A 1004303505 $45.98 / each 1$36.78
04 HDX 1 lbs. Roll-O-Rags N/A 397851 $6.98 / each 1$6.77",$69.99,Master Card 0305 Charged $69.99,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H0563-460934 Receipt.txt
"5/08/2024, 7:55 AM",6504,H6504-379342,6504 00097 92060,2880 Keller Hick,"01 The Home Depot 5 gal. Homer Bucket N/A 131227 $4.48 / each 2$8.96
02 Saint-Gobain ADFORS 1-7/8""x300' FibaTape Mold-X10  Self-Adhesive Drywall Joint Tape - FDW8664-UN/A 605005 $10.98 / each 1$10.65
03 Generic 2-1/16 in. x 250 ft. Drywall Joint Tape Roll 152120 N/A 258423 $3.61 / each 1$3.50
04 USG 3.5 gal. Soquete Ready-Mixed Joint Compound N/A 611778 $11.24 / each 3$33.03
05 USG 18 lb. Easy Sand 45 Setting-Type Joint Compound N/A 632716 $11.25 / each 2$22.04",$84.63,Master Card 0305 Charged $84.63,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6504-379342 Receipt-2.txt
"5/08/2024, 7:55 AM",6504,H6504-379342,6504 00097 92060,2880 Keller Hick,"01 The Home Depot 5 gal. Homer Bucket N/A 131227 $4.48 / each 2$8.96
02 Saint-Gobain ADFORS 1-7/8""x300' FibaTape Mold-X10  Self-Adhesive Drywall Joint Tape - FDW8664-UN/A 605005 $10.98 / each 1$10.65
03 Generic 2-1/16 in. x 250 ft. Drywall Joint Tape Roll 152120 N/A 258423 $3.61 / each 1$3.50
04 USG 3.5 gal. Soquete Ready-Mixed Joint Compound N/A 611778 $11.24 / each 3$33.03
05 USG 18 lb. Easy Sand 45 Setting-Type Joint Compound N/A 632716 $11.25 / each 2$22.04",$84.63,Master Card 0305 Charged $84.63,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6504-379342 Receipt.txt
"3/07/2024, 9:51 AM",6557,H6557-293252,,3701,"01 Libman Tornado Blended Cotton Twist Mop    PREFERRED PRICING $0.39 OFF EACHN/A 536022 $12.97 / each $12.58 / each1$12.58
02 ZEP 128 oz. Industrial Purple Degreaser    PREFERRED PRICING $0.42 OFF EACHN/A 1005437801 $13.98 / each $13.56 / each1$13.56
03 Anvil Soft Grip Carbon Steel Bristles Wire Brush 4 x 16  Rows    PREFERRED PRICING $0.21 OFF EACHN/A 1004644053 $6.98 / each $6.77 / each1$6.77",$35.63,"03/07/2024
10:52 AM EST Master Card 0305 Charged $35.63",2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6557-293252 Receipt.txt
"4/24/2024, 10:20 AM",6581,H6581-253700,6581 00097 89975,keller,"01 James Hardie HardieBacker 0.42 in. x 3 ft. x 5 ft. Cement  BackerboardN/A 202225 $14.85 / each 9$126.90
02 Unbranded 2 in. x 8 in. x 20 ft. #2 Prime Kiln-Dried  Southern Yellow Pine LumberN/A 648078 $19.18 / each 1$19.18
03 OATEY PVC Shower Drain Base with Clamp Ring Collar N/A 1002701816 $11.36 / each 1$11.36
04 Grip-Rite #10 x 2-1/2 in. 8-Penny Steel Cut Masonry Nails  (1 lb.-Pack)N/A 511102 $8.25 / box 1$7.84
05 Unbranded 5 ft. x 6 ft. Pre-Cut PVC Shower Pan Liner in  GrayN/A 239493 $39.98 / each 1$39.98
06 SharkBite 1/2 in. Copper Crimp Rings (25-Pack) N/A 639072 $9.33 / each 2$18.66
07 SharkBite 1/2 in. PEX Barb Plastic Coupling Fitting (5- Pack)N/A 1001404687 $4.57 / each 1$4.57
08 SharkBite 1/2 in. PEX Barb Plastic Plug Fitting (5-Pack) N/A 1001404712 $4.18 / each 2$8.36
09 Apollo 1/2 in. Plastic PEX-B Barb 90-Degree Elbow (5- Pack)N/A 1001404698 $5.68 / each 2$11.36 10 SharkBite 1/2 in. PEX Barb Plastic Tee Fitting (5-Pack) N/A 1001404708 $8.38 / each 1$8.38 11 ZIP SYSTEM SEAM TAPE N/A 777033 $34.95 / roll 1$33.90 12 Niagara 16.9 fl. oz. Purified Drinking Water (24-Pack) N/A 218340 $4.98 / each 1$4.98 13 Coca-Cola 12 fl. oz. Coca-Cola Fridge Pack Cans (12- Pack)N/A 397258 $7.78 / each 1$7.78 14 Sheetrock UltraLight 1/2 in. x 4 ft. x 8 ft. Gypsum Board N/A 893749 $13.48 / each 14$184.94Customer Receipt 4/24/2024, 10:20 AM CDT   Sales Person W4I0JOU Store Phone # (817) 430-2571    Store #6581 Location 125 E STATE HWY 114, ROANOKE, TX 76262     | We reserve the right to limit the quantities of merchandise sold to customers. Page2of2",$528.05,Master Card 0305 Charged $528.05,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6581-253700 Receipt.txt
"4/29/2024, 1:25 PM",6581,H6581-254298,6581 00097 93910,keller,"01 Reddy Ice 16 lbs. Cocktail Ice N/A 1006914872 $3.78 / each 1$3.78
02 Coca-Cola 12 fl. oz. Coca-Cola Fridge Pack Cans (12- Pack)N/A 397258 $7.78 / each 1$7.78
03 Oatey Shower Pan Liner Corner Dam N/A 956082 $4.47 / each 1$4.47
04 Everbilt EVERBILT PLASTIC INCREASER /  DECREASER, 3 IN. - 4 IN.N/A 598335 $3.82 / each 2$7.40",$25.36,Master Card 0305 Charged $25.36,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6581-254298 Receipt.txt
"4/17/2024, 9:05 AM",6814,H6814-380669,6814 00097 49219,Keller,"01 Grip-Rite 328 ft. Tie Wire 16 Gauge 3.5 lb. Roll N/A 572365 $11.45 / each 2$22.90
02 Grip-Rite 2-1/4 in. Rebar High Chair (20-Piece) N/A 143491 $7.61 / bag 2$15.22
03 Avanti Pro 7 in. Turbo Diamond Blade N/A 131656 $15.97 / each 2$31.94
04 Niagara 16.9 fl. oz. Purified Drinking Water (24-Pack) N/A 218340 $4.98 / each 1$4.98",$80.82,Master Card 0305 Charged $80.82,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6814-380669 Receipt.txt
"4/17/2024, 11:57 AM",6814,H6814-380753,6814 00097 49805,Keller,"01 Victor Snake-A-Way Hose-End Spray - 32 oz - Repels  Venomous and Non-Venomous SnakesN/A 1004664511 $16.97 / each 1$16.97
02 Unbranded Trade 2 Gal. (1.8 Gal.) Black Thermoformed  Nursery PotN/A 232000 $2.47 / each 4$9.88
03 Oatey 3 in. PVC Open Offset Toilet Flange with Stainless  Steel RingN/A 1003308406 $15.36 / each 1$15.05
04 Oatey 5 in. x 8 in. 16-Gauge Stud Guard Safety Plate N/A 726604 $3.64 / each 6$21.18
05 Charlotte Pipe 3 in. DWV PVC 22-1/2-degree Hub x Hub  Elbow FittingN/A 641361 $10.96 / each 2$21.48
06 Niagara 16.9 fl. oz. Purified Drinking Water (24-Pack) N/A 218340 $4.98 / each 1$4.98",$96.52,Master Card 0305 Charged $96.52,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6814-380753 Receipt.txt
"4/18/2024, 4:48 PM",6814,H6814-381035,6814 00097 51819,Keller,01 Cobra Anchors 1/2 in. x 5-1/2 in. Anchor (10-Pack) N/A 1005226551 $17.80 / box 1$16.91,$18.31,Master Card 0305 Charged $18.31,2024-05-23 21:08:26,O:\_Boiler\Experiments\Extract Texts from PDFs\PDFs\H6814-381035 Receipt.txt
